Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3309","1.1"
"210000","0","3296","1.5"
"420000","0","3289","1.5"
"630000","0","3295","1.5"
"839000","0","3293","1.8"
"1362000","0","3289","2.2"
"1570000","0","3292","2.6"
"1780000","0","3291","2.6"
"1990000","0","3293","3.0"
"2199000","0","3292","3.0"
"2612000","0","3290","3.3"
"2878000","0","3292","3.7"
"3088000","0","3291","3.7"
"3297000","0","3290","3.7"
"3506000","0","3291","4.1"
"3914000","0","3290","4.5"
"4180000","0","3289","4.5"
"4389000","0","3290","4.8"
"4599000","0","3289","4.8"
"4809000","0","3290","5.2"
"5216000","0","3290","5.6"
"5483000","0","3289","5.6"
"5692000","0","3290","6.0"
"5902000","0","3289","6.0"
"6112000","0","3290","6.3"
"6578000","0","3290","6.7"
"6787000","0","3289","6.7"
"6996000","0","3290","7.1"
"7205000","0","3290","7.1"
"7416000","0","3290","7.5"
"7822000","0","3290","7.5"
"8089000","0","3291","7.8"
"8299000","0","3290","7.8"
"8507000","0","3290","8.2"
"8717000","0","3290","8.2"
"9125000","0","3290","8.6"
"9392000","0","3290","8.9"
"9602000","0","3290","8.9"
"9811000","0","3291","9.3"
"10021000","0","3290","9.3"
"10428000","0","3291","9.7"
"10696000","0","3290","10.1"
"10905000","0","3290","10.1"
"11115000","0","3290","10.4"
"11325000","0","3290","10.4"
"11733000","0","3291","10.8"
"12001000","0","3290","11.2"
"12210000","0","3290","11.2"
"12420000","0","3290","11.6"
"12635000","0","3290","11.6"
"13043000","0","3290","11.9"
"13310000","0","3290","12.3"
"13520000","0","3290","12.3"
"13730000","0","3290","12.3"
"13940000","0","3290","12.7"
"14345000","0","3290","13.1"
"14613000","0","3290","13.1"
"14822000","0","3290","13.4"
"15033000","0","3290","13.4"
"15242000","0","3290","13.8"
"15648000","0","3290","14.2"
"15914000","0","3290","14.2"
"16124000","0","3290","14.6"
"16334000","0","3290","14.6"
"16544000","0","3290","14.9"
"16951000","0","3290","15.3"
"17219000","0","3290","15.3"
"17428000","0","3290","15.7"
"17638000","0","3290","15.7"
"17848000","0","3290","16.1"
"18256000","0","3290","16.1"
"18523000","0","3290","16.4"
"18732000","0","3290","16.8"
"18942000","0","3290","16.8"
"19152000","0","3290","16.8"
"19559000","0","3290","17.2"
"19827000","0","3291","17.6"
"20037000","0","3290","17.6"
"20247000","0","3290","17.9"
"20457000","0","3290","17.9"
"20864000","0","3290","18.3"
"21132000","0","3290","18.7"
"21342000","0","3290","18.7"
"21552000","0","3290","19.1"
"21760000","0","3290","19.1"
"22167000","0","3290","19.4"
"22435000","0","3290","19.8"
"22649000","0","3290","19.8"
"22859000","0","3289","20.2"
"23069000","0","3289","20.2"
"23477000","0","3289","20.5"
"23744000","0","3289","20.9"
"23953000","0","3289","20.9"
"24163000","0","3289","21.3"
"24373000","0","3289","21.3"
"24781000","0","3289","21.7"
"25049000","0","3289","22.1"
"25258000","0","3289","22.1"
"25467000","0","3289","22.1"
"25677000","0","3289","22.4"
"26083000","0","3289","22.8"
"26350000","0","3289","22.8"
"26560000","0","3289","23.2"
"26770000","0","3289","23.2"
"26979000","0","3289","23.5"
"27387000","0","3289","23.9"
"27654000","0","3289","23.9"
"27865000","0","3289","24.3"
"28073000","0","3289","24.3"
"28283000","0","3289","24.7"
"28690000","0","3289","25.1"
"28957000","0","3289","25.1"
"29167000","0","3289","25.4"
"29376000","0","3289","25.4"
"29587000","0","3289","25.8"
"29995000","0","3289","25.8"
"30262000","0","3290","26.2"
"30472000","0","3289","26.5"
"30682000","0","3289","26.5"
"30891000","0","3289","26.5"
"31299000","0","3289","26.9"
"31566000","0","3290","27.3"
"31777000","0","3289","27.3"
"31986000","0","3290","27.7"
"32196000","0","3289","27.7"
"32667000","0","3290","28.0"
"32876000","0","3289","28.4"
"33084000","0","3289","28.4"
"33294000","0","3289","28.8"
"33504000","0","3289","28.8"
"33911000","0","3289","29.2"
"34179000","0","3289","29.5"
"34388000","0","3288","29.5"
"34597000","0","3289","29.9"
"34807000","0","3289","29.9"
"35215000","0","3289","30.3"
"35483000","0","3289","30.7"
"35692000","0","3289","30.7"
"35901000","0","3289","31.0"
"36112000","0","3289","31.0"
"36517000","0","3289","31.4"
"36784000","0","3289","31.8"
"36994000","0","3289","31.8"
"37204000","0","3289","31.8"
"37413000","0","3289","32.2"
"37820000","0","3289","32.5"
"38088000","0","3289","32.5"
"38297000","0","3289","32.9"
"38508000","0","3289","32.9"
"38717000","0","3289","33.3"
"39124000","0","3289","33.7"
"39390000","0","3289","33.7"
"39601000","0","3289","34.0"
"39810000","0","3289","34.0"
"40020000","0","3289","34.4"
"40428000","0","3289","34.8"
"40700000","0","3289","34.8"
"40909000","0","3289","35.2"
"41119000","0","3290","35.2"
"41329000","0","3290","35.5"
"41736000","0","3290","35.9"
"42003000","0","3290","35.9"
"42213000","0","3290","36.3"
"42423000","0","3290","36.3"
"42638000","0","3290","36.3"
"43045000","0","3290","36.6"
"43313000","0","3290","37.0"
"43523000","0","3290","37.0"
"43732000","0","3290","37.4"
"43943000","0","3290","37.4"
"44350000","0","3290","37.8"
"44617000","0","3290","38.1"
"44825000","0","3290","38.1"
"45035000","0","3290","38.5"
"45245000","0","3290","38.5"
"45653000","0","3290","38.9"
"45920000","0","3290","39.3"
"46130000","0","3290","39.3"
"46339000","0","3290","39.6"
"46549000","0","3290","39.6"
"47014000","0","3290","40.0"
"47224000","0","3290","40.4"
"47433000","0","3290","40.4"
"47643000","0","3290","40.8"
"47853000","0","3290","40.8"
"48259000","0","3289","41.1"
"48527000","0","3290","41.5"
"48737000","0","3290","41.5"
"48946000","0","3289","41.5"
"49156000","0","3290","41.9"
"49564000","0","3290","42.3"
"49829000","0","3289","42.3"
"50039000","0","3290","42.6"
"50249000","0","3289","42.6"
"50459000","0","3289","43.0"
"50867000","0","3289","43.4"
"51134000","0","3289","43.4"
"51343000","0","3289","43.8"
"51552000","0","3289","43.8"
"51762000","0","3289","44.1"
"52227000","0","3289","44.5"
"52436000","0","3289","44.5"
"52652000","0","3289","44.9"
"52862000","0","3289","44.9"
"53071000","0","3289","45.3"
"53478000","0","3289","45.6"
"53746000","0","3290","45.6"
"53955000","0","3290","46.0"
"54165000","0","3290","46.0"
"54375000","0","3290","46.4"
"54782000","0","3290","46.4"
"55050000","0","3290","46.8"
"55260000","0","3290","46.8"
"55469000","0","3290","47.1"
"55679000","0","3290","47.1"
"56086000","0","3290","47.5"
"56354000","252200","3289","47.9"
"56563000","252200","3290","47.9"
"56773000","252200","3290","48.3"
"56984000","252200","3290","48.3"
"57391000","252200","3290","48.6"
"57659000","252200","3290","49.0"
"57867000","252200","3290","49.0"
"58077000","252200","3290","49.4"
"58287000","252200","3290","49.4"
"58694000","252200","3290","49.8"
"58962000","252200","3290","50.1"
"59171000","252200","3290","50.1"
"59381000","252200","3290","50.5"
"59591000","252200","3290","50.5"
"59998000","252200","3290","50.9"
"60266000","252200","3290","51.3"
"60476000","252200","3290","51.3"
"60686000","252200","3290","51.3"
"60896000","252200","3290","51.6"
"61304000","252200","3290","52.0"
"61571000","252200","3290","52.0"
"61782000","252200","3290","52.4"
"61991000","252200","3291","52.4"
"62201000","252200","3291","52.8"
"62614000","252200","3291","53.1"
"62881000","252200","3291","53.1"
"63091000","252200","3291","53.5"
"63301000","252200","3291","53.5"
"63509000","252200","3290","53.9"
"63916000","252200","3291","54.3"
"64183000","252200","3291","54.3"
"64394000","252200","3291","54.6"
"64604000","252200","3291","54.6"
"64814000","252200","3291","55.0"
"65221000","252200","3291","55.0"
"65489000","252200","3291","55.4"
"65698000","252200","3291","55.8"
"65907000","252200","3291","55.8"
"66116000","252200","3291","55.8"
"66524000","252200","3291","56.1"
"66791000","252200","3291","56.5"
"67001000","252200","3291","56.5"
"67211000","252200","3291","56.9"
"67421000","252200","3291","56.9"
"67820000","252200","3291","57.2"
"68095000","252200","3291","57.6"
"68305000","252200","3290","57.6"
"68514000","252200","3291","58.0"
"68724000","252200","3291","58.0"
"69131000","252200","3291","58.4"
"69399000","252200","3291","58.7"
"69607000","252200","3290","58.7"
"69817000","252200","3290","59.1"
"70027000","252200","3290","59.1"
"70492000","252200","3290","59.5"
"70702000","252200","3290","59.9"
"70912000","252200","3290","59.9"
"71121000","252200","3290","60.2"
"71331000","252200","3290","60.2"
"71737000","252200","3290","60.6"
"72005000","252200","3290","61.0"
"72215000","252200","3291","61.0"
"72425000","252200","3290","61.0"
"72640000","252200","3290","61.4"
"73047000","252200","3290","61.7"
"73314000","252200","3290","61.7"
"73523000","252200","3290","62.1"
"73734000","252200","3290","62.1"
"73943000","252200","3290","62.5"
"74350000","252200","3290","62.9"
"74618000","252200","3290","62.9"
"74827000","252200","3289","63.2"
"75036000","252200","3290","63.2"
"75247000","252200","3290","63.6"
"75655000","252200","3290","64.0"
"75922000","252200","3290","64.0"
"76131000","252200","3290","64.4"
"76341000","252200","3290","64.4"
"76551000","252200","3290","64.7"
"76959000","252200","3290","64.7"
"77227000","252200","3290","65.1"
"77436000","252200","3290","65.1"
"77646000","252200","3290","65.5"
"77856000","252200","3289","65.5"
"78264000","252200","3289","65.8"
"78531000","252200","3290","66.2"
"78741000","252200","3289","66.2"
"78951000","252200","3290","66.6"
"79161000","252200","3290","66.6"
"79568000","252200","3290","67.0"
"79836000","252200","3290","67.4"
"80046000","252200","3290","67.4"
"80255000","252200","3290","67.7"
"80466000","252200","3290","67.7"
"80873000","252200","3290","68.1"
"81141000","252200","3290","68.5"
"81350000","252200","3290","68.5"
"81559000","252200","3290","68.9"
"81769000","252200","3290","68.9"
"82175000","252200","3289","69.2"
"82442000","252200","3290","69.6"
"82662000","252200","3290","69.6"
"82871000","252200","3289","70.0"
"83081000","252200","3290","70.0"
"83489000","252200","3289","70.3"
"83756000","252200","3289","70.7"
"83965000","252200","3290","70.7"
"84176000","252200","3289","70.7"
"84385000","252200","3290","71.1"
"84793000","252200","3290","71.5"
"85059000","252200","3289","71.5"
"85269000","252200","3290","71.8"
"85479000","252200","3290","71.8"
"85689000","252200","3290","72.2"
"86096000","252200","3290","72.6"
"86363000","252200","3290","72.6"
"86571000","252200","3290","73.0"
"86782000","252200","3290","73.0"
"86992000","252200","3290","73.3"
"87399000","252200","3290","73.7"
"87667000","252200","3290","73.7"
"87877000","252200","3290","74.1"
"88087000","252200","3290","74.1"
"88295000","252200","3289","74.5"
"88702000","252200","3290","74.5"
"88971000","252200","3290","74.8"
"89180000","252200","3290","75.2"
"89390000","252200","3290","75.2"
"89599000","252200","3289","75.2"
"90007000","252200","3290","75.6"
"90275000","252200","3289","76.0"
"90485000","252200","3290","76.0"
"90695000","252200","3290","76.3"
"90905000","252200","3290","76.3"
"91312000","252200","3290","76.7"
"91580000","252200","3290","77.1"
"91790000","252200","3290","77.1"
"92000000","252200","3290","77.5"
"92210000","252200","3290","77.5"
"92623000","252200","3290","77.8"
"92891000","252200","3290","78.2"
"93100000","252200","3290","78.2"
"93310000","252200","3290","78.6"
"93520000","252200","3290","78.6"
"93925000","252200","3289","79.0"
"94192000","252200","3290","79.3"
"94402000","252200","3290","79.3"
"94612000","252200","3290","79.7"
"94822000","252200","3290","79.7"
"95229000","252200","3290","80.1"
"95497000","252200","3290","80.1"
"95707000","252200","3290","80.5"
"95916000","252200","3291","80.5"
"96126000","252200","3290","80.8"
"96533000","252200","3290","81.2"
"96800000","252200","3290","81.2"
"97010000","252200","3290","81.6"
"97219000","252200","3290","81.6"
"97429000","252200","3290","82.0"
"97836000","252200","3290","82.3"
"98104000","252200","3291","82.3"
"98314000","252200","3290","82.7"
"98523000","252200","3290","82.7"
"98733000","252200","3290","83.1"
"99140000","252200","3290","83.5"
"99407000","252200","3290","83.5"
"99617000","252200","3290","83.8"
"99827000","252200","3290","83.8"
"100035000","252200","3289","84.2"
"100443000","252200","3290","84.2"
"100710000","252200","3290","84.6"
"100920000","252200","3290","84.6"
"101129000","252200","3290","84.9"
"101338000","252200","3290","84.9"
"101745000","252200","3290","85.3"
"102012000","252200","3290","85.7"
"102222000","252200","3290","85.7"
"102431000","252200","3290","86.1"
"102645000","252200","3290","86.1"
"103052000","252200","3290","86.4"
"103320000","252200","3290","86.8"
"103529000","252200","3289","86.8"
"103739000","252200","3290","87.2"
"103949000","252200","3289","87.2"
"104356000","252200","3290","87.6"
"104624000","252200","3289","87.9"
"104833000","252200","3289","87.9"
"105043000","252200","3289","88.3"
"105252000","252200","3289","88.3"
"105660000","252200","3289","88.7"
"105928000","252200","3289","89.1"
"106137000","252200","3289","89.1"
"106347000","252200","3289","89.1"
"106556000","252200","3289","89.4"
"106963000","252200","3289","89.8"
"107230000","252200","3289","89.8"
"107440000","252200","3289","90.2"
"107650000","252200","3289","90.2"
"107859000","252200","3289","90.6"
"108323000","252200","3289","90.9"
"108532000","252200","3289","90.9"
"108742000","252200","3289","91.3"
"108952000","252200","3289","91.3"
"109162000","252200","3289","91.7"
"109569000","252200","3289","92.1"
"109836000","252200","3289","92.1"
"110046000","252200","3289","92.4"
"110255000","252200","3288","92.4"
"110465000","252200","3289","92.8"
"110873000","252200","3289","92.8"
"111140000","252200","3289","93.2"
"111350000","252200","3289","93.6"
"111559000","252200","3289","93.6"
"111769000","252200","3289","93.6"
"112176000","252200","3289","93.9"
"112444000","252200","3289","94.3"
"112659000","252200","3289","94.3"
"112869000","252200","3289","94.7"
"113079000","252200","3289","94.7"
"113486000","252200","3289","95.0"
"113754000","252200","3289","95.4"
"113964000","252200","3289","95.4"
"114173000","251200","3289","95.8"
"114384000","251200","3290","95.8"
"114791000","251200","3289","96.2"
"115058000","251200","3290","96.6"
"115268000","251200","3289","96.6"
"115478000","251200","3290","96.9"
"115687000","251200","3290","96.9"
"116095000","251200","3290","97.3"
"116363000","251200","3290","97.7"
"116572000","251200","3290","97.7"
"116782000","251200","3290","98.1"
"116992000","251200","3290","98.1"
"117397000","251200","3290","98.4"
"117665000","251200","3290","98.4"
"117874000","251200","3290","98.8"
"118084000","251200","3290","98.8"
"118293000","251200","3290","99.2"
"118699000","251200","3290","99.5"
"118967000","251200","3290","99.5"
"119177000","251200","3290","99.9"
"119387000","251200","3290","99.9"
"119596000","251200","3290","100.3"
"120002000","251200","3290","100.7"
"120270000","251200","3290","100.7"
"120480000","251200","3290","101.0"
"120689000","251200","3289","101.0"
"120898000","251200","3290","101.4"
"121307000","251200","3290","101.8"
"121573000","251200","3290","101.8"
"121783000","251200","3290","102.2"
"121993000","251200","3290","102.2"
"122201000","251200","3290","102.5"
"122613000","251200","3290","102.5"
"122880000","251200","3290","102.9"
"123090000","251200","3290","102.9"
"123299000","251200","3290","103.3"
"123509000","251200","3290","103.3"
"123916000","251200","3290","103.7"
"124184000","251200","3290","104.0"
"124460000","251200","3290","104.4"
"124671000","251200","3290","104.4"
"124879000","251200","3290","104.4"
"125344000","251200","3290","105.2"
"125554000","251200","3290","105.2"
"125762000","251200","3289","105.2"
"125971000","251200","3289","105.5"
"126180000","251200","3289","105.5"
"126588000","251200","3289","105.9"
"126855000","251200","3289","106.3"
"127063000","251200","3289","106.3"
"127273000","251200","3289","106.7"
"127483000","251200","3289","106.7"
"127890000","251200","3289","107.0"
"128158000","251200","3289","107.4"
"128368000","251200","3289","107.4"
"128577000","251200","3289","107.8"
"128787000","251200","3289","107.8"
"129251000","251200","3288","108.1"
"129461000","251200","3289","108.5"
"129671000","251200","3289","108.5"
"129881000","251200","3289","108.5"
"130090000","251200","3289","108.9"
"130555000","251200","3289","109.3"
"130765000","251200","3289","109.3"
"130975000","251200","3289","109.7"
"131185000","251200","3289","109.7"
"131395000","251200","3289","110.0"
"131802000","251200","3289","110.4"
"132069000","251200","3289","110.4"
"132279000","251200","3289","110.8"
"132489000","251200","3289","110.8"
"132704000","251200","3289","111.2"
"133112000","251200","3289","111.5"
"133379000","251200","3289","111.5"
"133588000","251200","3289","111.9"
"133797000","251200","3289","111.9"
"134008000","251200","3289","112.3"
"134416000","251200","3289","112.7"
"134683000","251200","3289","112.7"
"134893000","251200","3289","113.0"
"135103000","251200","3289","113.0"
"135313000","251200","3290","113.4"
"135719000","251200","3290","113.4"
"135986000","251200","3290","113.8"
"136195000","251200","3290","114.2"
"136405000","251200","3290","114.2"
"136615000","251200","3290","114.2"
"137081000","251200","3290","114.5"
"137291000","251200","3290","114.9"
"137500000","251200","3290","114.9"
"137710000","251200","3290","115.3"
"137920000","251200","3290","115.3"
"138385000","251200","3290","115.6"
"138594000","251200","3290","116.0"
"138804000","251200","3291","116.0"
"139014000","251200","3291","116.4"
"139225000","251200","3291","116.4"
"139632000","251200","3291","116.8"
"139900000","251200","3291","117.1"
"140109000","251200","3291","117.1"
"140318000","251200","3291","117.5"
"140528000","251200","3291","117.5"
"140935000","251200","3291","117.9"
"141203000","251200","3291","118.3"
"141412000","251200","3291","118.3"
"141622000","251200","3291","118.3"
"141832000","251200","3291","118.6"
"142238000","251200","3291","119.0"
"142506000","251200","3291","119.4"
"142721000","251200","3291","119.8"
"142930000","251200","3290","119.8"
"143139000","251200","3291","120.2"
"143547000","251200","3290","120.9"
"143814000","251200","3291","121.3"
"144025000","251200","3290","121.3"
"144234000","251200","3290","121.7"
"144443000","251200","3290","122.1"
"144851000","251200","3290","122.9"
"145118000","251200","3290","123.2"
"145328000","251200","3290","123.2"
"145538000","251200","3290","123.6"
"145748000","251200","3290","124.0"
"146156000","251200","3290","124.4"
"146423000","251200","3291","124.8"
"146632000","251200","3290","125.1"
"146842000","251200","3291","125.5"
"147052000","251200","3290","125.9"
"147459000","251200","3290","126.3"
"147726000","251200","3291","126.7"
"147937000","251200","3290","127.1"
"148147000","251200","3291","127.5"
"148356000","251200","3290","127.8"
"148764000","251200","3290","128.2"
"149031000","251200","3290","128.6"
"149240000","251200","3290","129.0"
"149448000","251200","3290","129.4"
"149657000","251200","3290","129.4"
"150065000","251200","3290","130.1"
"150333000","251200","3290","130.5"
"150544000","251200","3290","130.9"
"150753000","251200","3290","130.9"
"150962000","251200","3289","131.3"
"151370000","251200","3290","132.1"
"151637000","251200","3289","132.4"
"151847000","251200","3289","132.8"
"152057000","251200","3289","132.8"
"152268000","251200","3289","133.2"
"152681000","251200","3289","134.0"
"152949000","251200","3289","134.4"
"153159000","251200","3289","134.4"
"153369000","251200","3289","134.7"
"153578000","251200","3289","135.1"
"153986000","251200","3289","135.5"
"154252000","251200","3289","135.9"
"154462000","251200","3289","136.3"
"154671000","251200","3289","136.7"
"154880000","251200","3289","137.0"
"155286000","251200","3289","137.4"
"155554000","251200","3289","137.8"
"155763000","251200","3289","138.2"
"155973000","251200","3290","138.6"
"156183000","251200","3289","139.0"
"156590000","251200","3289","139.3"
"156857000","251200","3289","139.7"
"157067000","251200","3289","140.1"
"157275000","251200","3289","140.5"
"157484000","251200","3289","140.5"
"157892000","251200","3289","141.3"
"158158000","251200","3289","141.6"
"158367000","251200","3289","142.0"
"158577000","251200","3289","142.0"
"158787000","251200","3288","142.4"
"159194000","251200","3289","143.2"
"159462000","251200","3288","143.6"
"159671000","251200","3288","143.9"
"159881000","251200","3288","143.9"
"160090000","320200","3288","144.3"
"160497000","320200","3289","145.1"
"160765000","320200","3289","145.5"
"160974000","320200","3289","145.5"
"161184000","320200","3288","145.9"
"161394000","320200","3288","146.2"
"161801000","320200","3289","146.6"
"162069000","320200","3288","147.0"
"162279000","320200","3289","147.4"
"162489000","320200","3289","147.8"
"162703000","320200","3288","148.2"
"163110000","320200","3289","148.5"
"163378000","320200","3288","148.9"
"163587000","320200","3289","149.3"
"163797000","320200","3289","149.7"
"164007000","320200","3289","150.1"
"164414000","320200","3289","150.5"
"164681000","320200","3289","150.8"
"164891000","320200","3289","151.2"
"165101000","320200","3289","151.6"
"165311000","320200","3289","151.6"
"165718000","320200","3289","152.4"
"165986000","320200","3289","152.8"
"166195000","320200","3289","153.2"
"166409000","320200","3289","153.2"
"166617000","320200","3289","153.5"
"167025000","320200","3289","154.3"
"167292000","320200","3289","154.7"
"167502000","320200","3289","155.1"
"167711000","320200","3289","155.1"
"167921000","320200","3289","155.4"
"168329000","320200","3290","156.2"
"168597000","320200","3289","156.6"
"168806000","320200","3289","156.6"
"169017000","320200","3289","157.0"
"169226000","320200","3289","157.4"
"169633000","320200","3290","157.7"
"169899000","320200","3289","158.1"
"170109000","320200","3289","158.5"
"170318000","320200","3290","158.9"
"170528000","320200","3289","159.3"
"170935000","320200","3289","159.7"
"171202000","320200","3290","160.0"
"171412000","320200","3289","160.4"
"171622000","320200","3289","160.8"
"171832000","320200","3290","161.2"
"172239000","320200","3289","161.6"
"172507000","320200","3289","162.0"
"172722000","320200","3289","162.4"
"172931000","320200","3289","162.7"
"173139000","320200","3289","163.1"
"173547000","320200","3289","163.5"
"173813000","320200","3289","163.9"
"174022000","320200","3289","164.3"
"174232000","320200","3289","164.7"
"174441000","320200","3289","164.7"
"174849000","320200","3289","165.4"
"175116000","320200","3289","165.8"
"175326000","320200","3289","166.2"
"175535000","320200","3289","166.2"
"175744000","320200","3289","166.6"
"176151000","320200","3289","167.3"
"176419000","320200","3289","167.7"
"176628000","320200","3288","167.7"
"176838000","320200","3289","168.1"
"177048000","320200","3289","168.5"
"177454000","320200","3288","168.9"
"177722000","320200","3289","169.3"
"177931000","320200","3289","169.6"
"178141000","320200","3289","170.0"
"178351000","320200","3289","170.4"
"178757000","320200","3289","170.8"
"179025000","320200","3289","171.2"
"179235000","320200","3289","171.6"
"179445000","320200","3289","171.9"
"179655000","320200","3289","172.3"
"180062000","320200","3288","172.7"
"180330000","320200","3289","173.1"
"180539000","320200","3289","173.5"
"180749000","320200","3289","173.9"
"180959000","320200","3289","174.3"
"181366000","320200","3288","174.6"
"181633000","320200","3289","175.0"
"181843000","320200","3289","175.4"
"182051000","320200","3288","175.8"
"182261000","320200","3289","175.8"
"182674000","320200","3288","176.5"
"182942000","320200","3289","176.9"
"183151000","320200","3289","177.3"
"183360000","320200","3288","177.3"
"183568000","320200","3288","177.7"
"183976000","320200","3289","178.5"
"184244000","320200","3288","178.9"
"184453000","320200","3288","178.9"
"184663000","320200","3288","179.2"
"184872000","320200","3288","179.6"
"185280000","320200","3289","180.4"
"185547000","320200","3289","180.8"
"185756000","320200","3288","180.8"
"185966000","320200","3289","181.1"
"186176000","320200","3288","181.5"
"186582000","320200","3288","181.9"
"186850000","320200","3289","182.3"
"187060000","320200","3288","182.7"
"187269000","320200","3289","183.1"
"187479000","320200","3289","183.5"
"187886000","320200","3288","183.8"
"188153000","320200","3288","184.2"
"188363000","320200","3288","184.6"
"188572000","320200","3289","185.0"
"188782000","320200","3289","185.4"
"189189000","320200","3288","185.8"
"189457000","320200","3288","186.1"
"189666000","320200","3289","186.5"
"189876000","320200","3289","186.9"
"190086000","320200","3289","186.9"
"190493000","320200","3289","187.7"
"190761000","320200","3289","188.1"
"190971000","320200","3289","188.4"
"191181000","320200","3289","188.4"
"191390000","320200","3289","188.8"
"191797000","320200","3289","189.6"
"192065000","320200","3289","190.0"
"192274000","320200","3289","190.0"
"192484000","320200","3289","190.4"
"192699000","320200","3289","190.7"
"193106000","320200","3289","191.5"
"193374000","320200","3289","191.9"
"193583000","320200","3289","191.9"
"193792000","320200","3289","192.3"
"194002000","320200","3289","192.7"
"194409000","320200","3289","193.0"
"194677000","430100","3289","193.4"
"194887000","430100","3289","193.8"
"195097000","430100","3289","194.2"
"195307000","430100","3289","194.6"
"195714000","430100","3289","195.0"
"195982000","430100","3289","195.3"
"196191000","430100","3289","195.7"
"196401000","430100","3289","196.1"
"196612000","430100","3290","196.5"
"197017000","430100","3289","196.9"
"197284000","430100","3289","197.3"
"197493000","430100","3290","197.6"
"197703000","430100","3289","198.0"
"197913000","430100","3289","198.0"
"198376000","430100","3288","198.8"
"198585000","430100","3289","199.2"
"198795000","430100","3289","199.6"
"199005000","430100","3289","200.0"
"199215000","430100","3289","200.0"
"199622000","430100","3290","200.7"
"199890000","430100","3290","201.1"
"200099000","430100","3290","201.5"
"200308000","430100","3290","201.5"
"200518000","430100","3289","201.9"
"200926000","430100","3290","202.6"
"201194000","430100","3290","203.0"
"201403000","430100","3290","203.0"
"201612000","430100","3289","203.4"
"201822000","430100","3290","203.8"
"202229000","430100","3290","204.6"
"202497000","430100","3289","204.9"
"202713000","430100","3290","204.9"
"202922000","430100","3289","205.3"
"203132000","430100","3290","205.7"
"203540000","430100","3289","206.1"
"203807000","430100","3290","206.5"
"204017000","430100","3289","206.8"
"204227000","430100","3289","207.2"
"204437000","430100","3290","207.6"
"204843000","430100","3289","208.0"
"205110000","430100","3289","208.4"
"205320000","430100","3289","208.8"
"205529000","430100","3289","209.2"
"205739000","430100","3289","209.5"
"206146000","430100","3289","209.9"
"206412000","430100","3289","210.3"
"206622000","430100","3289","210.7"
"206830000","430100","3289","211.1"
"207039000","430100","3289","211.1"
"207447000","430100","3289","211.8"
"207713000","430100","3289","212.2"
"207922000","430100","3289","212.6"
"208132000","430100","3289","212.6"
"208346000","430100","3289","213.0"
"208754000","430100","3289","213.8"
"209021000","430100","3289","214.1"
"209230000","430100","3288","214.5"
"209440000","430100","3289","214.5"
"209649000","430100","3288","214.9"
"210056000","430100","3289","215.7"
"210324000","430100","3289","216.1"
"210533000","430100","3288","216.1"
"210743000","430100","3289","216.4"
"210952000","430100","3289","216.8"
"211360000","430100","3289","217.2"
"211627000","430100","3289","217.6"
"211836000","430100","3289","218.0"
"212046000","430100","3289","218.4"
"212256000","430100","3289","218.7"
"212668000","430100","3288","219.1"
"212936000","430100","3288","219.5"
"213145000","430100","3288","219.9"
"213355000","430100","3288","220.3"
"213564000","430100","3288","220.7"
"213972000","430100","3288","221.0"
"214239000","430100","3288","221.4"
"214449000","430100","3288","221.8"
"214658000","430100","3288","222.2"
"214868000","430100","3288","222.2"
"215274000","430100","3288","223.0"
"215541000","430100","3288","223.3"
"215750000","430100","3288","223.7"
"215961000","430100","3288","224.1"
"216170000","430100","3287","224.1"
"216578000","430100","3288","224.9"
"216845000","430100","3288","225.3"
"217054000","430100","3288","225.7"
"217264000","430100","3288","225.7"
"217474000","430100","3288","226.0"
"217882000","430100","3288","226.8"
"218149000","430100","3288","227.2"
"218359000","430100","3288","227.2"
"218567000","430100","3287","227.6"
"218777000","430100","3288","227.9"
"219184000","430100","3288","228.7"
"219451000","430100","3287","229.1"
"219660000","430100","3288","229.1"
"219870000","430100","3288","229.5"
"220081000","430100","3288","229.9"
"220487000","430100","3288","230.2"
"220754000","430100","3288","230.6"
"220964000","430100","3288","231.0"
"221173000","430100","3288","231.4"
"221383000","430100","3288","231.8"
"221790000","430100","3288","232.2"
"222057000","430100","3288","232.5"
"222267000","430100","3288","232.9"
"222476000","430100","3288","233.3"
"222692000","430100","3289","233.7"
"223099000","430100","3288","234.1"
"223367000","430100","3288","234.5"
"223577000","430100","3289","234.9"
"223786000","430100","3288","235.2"
"223995000","430100","3289","235.2"
"224403000","430100","3288","236.0"
"224670000","430100","3289","236.4"
"224880000","430100","3289","236.8"
"225090000","430100","3288","236.8"
"225300000","430100","3289","237.2"
"225708000","430100","3289","237.9"
"225975000","430100","3288","238.3"
"226185000","430100","3289","238.3"
"226394000","430100","3288","238.7"
"226602000","430100","3288","239.1"
"227009000","430100","3289","239.4"
"227275000","430100","3289","239.8"
"227484000","430100","3289","240.2"
"227694000","430100","3289","240.6"
"227904000","430100","3289","241.0"
"228311000","430100","3288","241.4"
"228578000","430100","3289","241.8"
"228788000","430100","3288","242.1"
"228998000","433600","3289","242.5"
"229208000","433600","3289","242.9"
"229616000","433600","3288","243.3"
"229883000","433600","3289","243.7"
"230092000","433600","3289","244.1"
"230302000","433600","3289","244.4"
"230512000","433600","3289","244.4"
"230912000","433600","3289","245.2"
"231188000","433600","3289","245.6"
